Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login_Logout,Chrome 72.0.3626.119,,2019-03-06 13:51:57,2019-03-06 13:53:16,1m - 18.946s,FAILED
,,,,,,
Test Cases/Base/Login,Chrome 72.0.3626.119,,2019-03-06 13:51:57,2019-03-06 13:52:41,43.964s,FAILED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 13:51:58,2019-03-06 13:52:03,4.873s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Chrome 72.0.3626.119,INVOKE REACTAPP ,2019-03-06 13:52:03,2019-03-06 13:52:05,1.662s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 13:52:05,2019-03-06 13:52:06,1.201s,PASSED
"setText(findTestObject(""Page_React App/input_Submit_form-control""), ""asharaje8ndran89@gmail.com"")",Chrome 72.0.3626.119,ENTER EMAIL ADDRESS,2019-03-06 13:52:06,2019-03-06 13:52:06,0.620s,PASSED
"setEncryptedText(findTestObject(""Page_React App/input_Submit_form-control_1""), ""Qs8BrKvHtI8="")",Chrome 72.0.3626.119,ENTER PASSWORD,2019-03-06 13:52:06,2019-03-06 13:52:07,0.375s,PASSED
"click(findTestObject(""Object Repository/Page_React App/button_Submit""))",Chrome 72.0.3626.119,CLICK ON LOGIN,2019-03-06 13:52:07,2019-03-06 13:52:07,0.207s,PASSED
"verifyElementPresent(findTestObject(""Page_React App/label_Profile name""), 30, STOP_ON_FAILURE)",Chrome 72.0.3626.119,VERIFY SUCESSFULL LOGIN,2019-03-06 13:52:07,2019-03-06 13:52:39,31.834s,FAILED
,,,,,,
Test Cases/Base/Logout,Chrome 72.0.3626.119,,2019-03-06 13:52:41,2019-03-06 13:53:15,34.024s,FAILED
"click(findTestObject(""Object Repository/Page_React App/button_Logout""))",Chrome 72.0.3626.119,TO LOGOUT FROM THE REACT APP,2019-03-06 13:52:41,2019-03-06 13:53:13,31.480s,FAILED
