Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Signup_Login_Logout,Chrome 72.0.3626.119,,2019-03-06 14:47:37,2019-03-06 14:48:33,56.356s,FAILED
,,,,,,
Test Cases/LaunchApp,Chrome 72.0.3626.119,,2019-03-06 14:47:37,2019-03-06 14:47:49,11.769s,PASSED
"openBrowser("""")",Chrome 72.0.3626.119,,2019-03-06 14:47:38,2019-03-06 14:47:44,5.645s,PASSED
"navigateToUrl(""http://192.168.0.171:4000/login"")",Chrome 72.0.3626.119,INVOKE REACTAPP ,2019-03-06 14:47:44,2019-03-06 14:47:46,1.894s,PASSED
maximizeWindow(),Chrome 72.0.3626.119,,2019-03-06 14:47:46,2019-03-06 14:47:47,1.249s,PASSED
,,,,,,
Test Cases/Signup,Chrome 72.0.3626.119,,2019-03-06 14:47:49,2019-03-06 14:47:54,5.442s,FAILED
"click(findTestObject(""Page_login React App/Page_signup React App/button_Signup""))",Chrome 72.0.3626.119,,2019-03-06 14:47:50,2019-03-06 14:47:50,0.317s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control""), ""Asha"")",Chrome 72.0.3626.119,,2019-03-06 14:47:50,2019-03-06 14:47:50,0.458s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_1""), ""Rajendran"")",Chrome 72.0.3626.119,,2019-03-06 14:47:50,2019-03-06 14:47:51,0.467s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_11""), ""a"")",Chrome 72.0.3626.119,,2019-03-06 14:47:51,2019-03-06 14:47:51,0.225s,PASSED
"setEncryptedText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_14""), ""HeCM15nHKBI="")",Chrome 72.0.3626.119,,2019-03-06 14:47:51,2019-03-06 14:47:51,0.377s,PASSED
"setText(findTestObject(""Page_login React App/Page_signup React App/input__form-control_16""), ""0"")",Chrome 72.0.3626.119,,2019-03-06 14:47:51,2019-03-06 14:47:52,0.242s,PASSED
"click(findTestObject(""Page_login React App/Page_signup React App/button_Submit""))",Chrome 72.0.3626.119,,2019-03-06 14:47:52,2019-03-06 14:47:52,0.192s,PASSED
"click(findTestObject(""Page_login React App/Page_signup React App/div_Signup Successfully Done""))",Chrome 72.0.3626.119,,2019-03-06 14:47:52,2019-03-06 14:47:52,0.569s,FAILED
,,,,,,
Test Cases/Login,Chrome 72.0.3626.119,,2019-03-06 14:47:54,2019-03-06 14:47:58,3.989s,FAILED
"setText(findTestObject(""Page_login React App/input_Submit_form-control""), ""asharajendran89@gmail.com"")",Chrome 72.0.3626.119,ENTER EMAIL ADDRESS,2019-03-06 14:47:55,2019-03-06 14:47:56,0.696s,PASSED
"setEncryptedText(findTestObject(""Page_login React App/input_Submit_form-control_1""), ""Qs8BrKvHtI8="")",Chrome 72.0.3626.119,ENTER PASSWORD,2019-03-06 14:47:56,2019-03-06 14:47:56,0.267s,PASSED
"click(findTestObject(""Page_login React App/button_Submit""))",Chrome 72.0.3626.119,CLICK ON LOGIN,2019-03-06 14:47:56,2019-03-06 14:47:56,0.514s,FAILED
,,,,,,
Test Cases/Logout,Chrome 72.0.3626.119,,2019-03-06 14:47:58,2019-03-06 14:48:33,34.169s,FAILED
"click(findTestObject(""Page_login React App/button_Logout""))",Chrome 72.0.3626.119,TO LOGOUT FROM THE REACT APP,2019-03-06 14:47:59,2019-03-06 14:48:31,31.638s,FAILED
